Δx [m],Δy [m],φ [],R [m],Δz [m]
1.23009e-008,9.96372e-007,-1.55845,9.96448e-007,-4.5005e-009
2.46018e-008,9.7177e-007,-1.54549,9.72081e-007,4.16963e-009
2.46018e-008,9.7177e-007,-1.54549,9.72081e-007,-6.01699e-009
1.23009e-008,1.00867e-006,-1.5586,1.00875e-006,4.7015e-009
2.46018e-008,1.04558e-006,-1.54727,1.04586e-006,-7.01982e-009
1.63602e-006,2.46018e-008,-0.0150365,1.6362e-006,8.54394e-010
1.61142e-006,1.29159e-006,-0.675671,2.06516e-006,-3.53758e-009
1.63602e-006,4.92035e-007,-0.292146,1.70841e-006,6.49134e-009
1.57451e-006,-3.56726e-007,0.222801,1.61442e-006,-2.13141e-008
1.61142e-006,-4.05929e-007,0.246774,1.66176e-006,-1.05883e-008
1.61142e-006,-2.59549e-006,1.01518,3.05503e-006,-1.11193e-008
1.57451e-006,-1.98044e-006,0.899093,2.53007e-006,-7.70487e-009
1.59912e-006,-7.25752e-007,0.426048,1.7561e-006,-1.5832e-008
1.62372e-006,6.39646e-007,-0.375271,1.74517e-006,3.68226e-009
1.54991e-006,-4.79735e-007,2.84142,1.62246e-006,-1.77738e-008
