Δx [m],Δy [m],φ [],R [m],Δz [m]
-6.79758e-009,2.42447e-007,-1.59883,2.42542e-007,-8.63769e-009
3.12689e-007,-2.94562e-008,0.0939257,3.14073e-007,-5.31936e-009
2.26586e-009,2.53776e-007,-1.56187,2.53787e-007,-1.69623e-008
3.14955e-007,-3.62538e-008,0.114604,3.17034e-007,-3.45043e-010
2.9003e-007,-6.79758e-009,0.0234332,2.9011e-007,-3.07523e-008
-2.26586e-009,2.49245e-007,-1.57989,2.49255e-007,-2.90713e-009
3.0136e-007,0,0,3.0136e-007,-4.99083e-008
-1.13293e-008,2.51511e-007,-1.61581,2.51766e-007,-1.18041e-008
6.16314e-007,1.13293e-008,-0.0183803,6.16418e-007,1.46468e-008
6.29909e-007,3.62538e-008,-0.0574905,6.30952e-007,7.27074e-009
6.72961e-007,1.5861e-008,-0.0235647,6.73148e-007,1.76924e-008
6.09517e-007,4.53172e-008,-0.0742129,6.11199e-007,-3.00457e-008
-1.06495e-007,1.45015e-007,-2.20422,1.79918e-007,2.08818e-007
2.71903e-008,1.13293e-007,-1.33525,1.1651e-007,2.2581e-007
1.54079e-007,1.49547e-007,-0.770474,2.14719e-007,1.93358e-007
2.08459e-007,-1.13293e-008,0.0542944,2.08767e-007,1.96002e-007
-2.99094e-007,6.11782e-008,-2.93983,3.05286e-007,2.03793e-007
