Druck oben [mbar],∆Druck oben [mbar],Druck unten [mbar],∆Druck unten [mbar],Bemerkung
8.1E-05,1E-06,1.3E-05,1E-06,
1.0E-04,1E-05,1.4E-05,1E-06,
2.4E-04,1E-05,1.6E-05,1E-06,
5.0E-04,1E-05,1.9E-05,1E-06,
7.5E-04,1E-05,2.3E-05,1E-06,
1.0E-03,1E-04,2.6E-05,1E-06,
2.5E-03,1E-04,4.7E-05,1E-06,
5.0E-03,1E-04,8.4E-05,1E-06,
7.4E-03,1E-04,1.2E-04,1E-05,
1.0E-02,1E-03,1.5E-04,1E-05,
2.5E-02,1E-03,3.6E-04,1E-05,
5.0E-02,1E-03,7.5E-04,1E-05,
7.5E-02,1E-03,1.2E-03,1E-04,
1E-01,1E-02,1.9E-03,1E-04,
2.5E-01,1E-02,2.5E-03,1E-04,
5E-01,1E-02,1.3E-02,1E-03,
7.4E-01,1E-02,2.1E-02,1E-03,
1.0E+00,1E-01,3.5E-02,1E-03,
2.5E+00,1E-01,1.5E-01,1E-02,
